playlist_genre,dimension_1,dimension_2
pop,-21.433882,-42.460476
pop,-83.31757,20.812891
pop,-78.477,-86.06439
pop,-82.4332,-45.34434
pop,-38.02106,41.476177
pop,-85.71854,28.515717
pop,-40.245964,2.0578556
pop,-22.7546,61.606056
pop,-29.76777,-35.8109
pop,45.116817,-26.975737
pop,-24.352367,53.181583
pop,-33.646782,-98.3193
pop,-38.455837,-28.012096
pop,-84.89075,55.697895
pop,43.297234,16.345854
pop,-37.94281,19.29588
pop,-72.60587,24.72528
pop,-31.234478,-4.356901
pop,-101.44489,14.66264
pop,-52.80502,-9.727398
pop,-9.516175,-27.674662
pop,-70.077644,-21.316343
pop,-6.2134533,104.49329
pop,-34.23382,-48.14658
pop,-2.3428826,-128.33638
pop,-62.005787,30.318565
pop,-40.16499,-31.988396
pop,-74.581245,-12.204557
pop,-87.866,82.669365
pop,-90.85294,-57.996742
pop,-56.27156,-94.621216
pop,-59.992023,7.345972
pop,-75.32832,-98.491905
pop,-70.78909,-37.838257
pop,3.7020838,-77.623505
pop,-52.258564,-7.383872
pop,-72.5118,-32.457558
pop,-59.976753,17.617405
pop,49.76255,115.57998
pop,3.653091,-7.4056063
pop,-27.742575,92.7071
pop,8.915091,-40.33789
pop,-115.596016,-49.322063
pop,-19.668598,-38.772514
pop,-62.227238,-107.06825
pop,7.7063775,-53.775257
pop,-105.29684,51.82713
pop,-32.908203,-59.35899
pop,-21.91407,96.05675
pop,-101.38914,80.52911
pop,-61.8608,-3.8487046
pop,63.577236,65.10203
pop,-39.730656,-104.43397
pop,-39.28918,-102.84125
pop,-39.58455,-84.590385
pop,30.762314,-57.74952
pop,-72.05936,72.54419
pop,-114.17242,18.498755
pop,69.54959,14.289581
pop,1.6990999,37.113354
pop,11.073674,7.206995
pop,-41.248768,31.85157
pop,-16.81543,122.80849
pop,-1.9228035,67.35643
pop,-38.679615,6.8972883
pop,87.55493,-84.588104
pop,47.36884,27.158846
pop,-6.5170126,36.355507
pop,-36.059017,-25.683117
pop,35.30643,-34.171574
pop,1.7809042,3.7580795
pop,-71.428276,-0.25096074
pop,-98.96761,-42.149548
pop,-103.17452,70.36064
pop,-17.25861,78.81901
pop,-0.087417565,-29.539549
pop,35.155586,-34.018684
pop,-54.496258,-55.485264
pop,-72.74458,26.690815
pop,-1.8759265,61.170547
pop,5.2531533,-36.860462
pop,3.1882272,-77.48284
pop,-73.46264,87.80178
pop,-6.4527764,-5.3302474
pop,-6.044741,103.0382
pop,-39.425205,-69.400604
pop,-43.37441,90.38218
pop,-29.470922,-28.738684
pop,-8.684357,-31.38214
pop,-32.685432,-42.28696
pop,-21.624968,74.63919
pop,14.390176,-83.865395
pop,-50.77982,-0.26543173
pop,-97.57983,-27.019169
pop,-94.42072,17.49083
pop,-49.256042,10.107194
pop,-84.734245,-3.2989607
pop,32.24615,108.89342
pop,-14.55158,-109.1809
pop,-7.103268,35.03948
pop,-59.91018,-86.73336
pop,-58.300602,76.75165
pop,1.1844355,-13.281179
pop,-60.132374,-86.393166
pop,-89.98356,-71.16495
pop,-42.140495,94.06444
pop,-71.938705,-34.24194
pop,-34.312927,-50.79437
pop,-10.989644,61.967552
pop,50.407658,56.58574
pop,-12.364272,-64.80572
pop,-47.713375,-25.625784
pop,-28.270405,29.973053
pop,-49.050983,16.41557
pop,-44.867493,51.079735
pop,33.75606,-42.347706
pop,-6.7306576,-35.407963
pop,-29.109823,4.4610386
pop,-30.077845,88.738716
pop,-88.32386,7.6599946
pop,-2.9919634,-103.53045
pop,-19.978722,65.23183
pop,-69.29006,47.82491
pop,-103.58025,75.493416
pop,-15.9796295,-95.10696
pop,29.39227,-20.594606
pop,-100.90891,26.64635
pop,-41.247753,31.855713
pop,-97.817726,-27.752193
pop,14.9982,-36.722103
pop,-3.4688292,72.27031
pop,-42.65731,-14.756798
pop,8.699124,73.58092
pop,60.046005,-107.08146
pop,41.19658,-85.50619
pop,70.020905,-86.37097
pop,25.49051,-77.67954
pop,17.407333,-90.012184
pop,-32.94159,-8.903705
pop,29.672312,-108.40245
pop,-18.604256,12.205686
pop,-30.213284,32.538784
pop,27.256357,31.250685
pop,-18.798868,-36.503777
pop,49.848553,110.489494
pop,-6.5071983,-11.279743
pop,-2.1278167,68.01377
pop,15.656835,-86.39058
pop,44.190998,-58.65232
pop,-7.0419517,-72.55044
pop,28.119377,91.6914
pop,0.8791095,27.986116
pop,46.07144,23.118303
pop,-17.079576,-32.493004
pop,-16.541075,90.00938
pop,30.334808,-93.729996
pop,49.38775,116.55369
pop,-48.996674,15.585839
pop,60.678474,-104.32465
pop,32.428753,15.667431
pop,7.277715,-29.734041
pop,-3.144244,55.259422
pop,-23.107803,10.978108
pop,29.470812,-62.458836
pop,78.46154,-14.081185
pop,21.18354,-62.36821
pop,8.075321,67.86819
pop,-27.844051,41.13374
pop,-16.921728,-3.8924096
pop,23.983377,-5.335365
pop,-84.576225,55.291393
pop,-85.697586,-35.918865
pop,-91.82192,-55.950253
pop,-49.235516,15.572574
pop,-46.498592,61.957367
pop,-102.26308,11.166536
pop,-102.85697,69.59895
pop,-56.525246,45.01575
pop,-24.873304,-73.752235
pop,-85.55701,-32.864155
pop,-48.977345,15.00346
pop,29.081383,37.256153
pop,-46.766716,57.15181
pop,55.900234,19.0485
pop,-43.942833,-84.67728
pop,-89.438,-64.74695
pop,-61.822773,-73.59187
pop,-78.8072,8.801897
pop,-89.57596,-68.64133
pop,-58.566963,59.28074
pop,-0.9350953,-60.8182
pop,-95.047646,-8.704863
pop,-16.492327,-95.82505
pop,-69.290054,47.8248
pop,-60.643333,-26.851505
pop,-29.878323,36.519684
pop,-25.961863,-123.13055
pop,-70.99699,-37.223682
pop,-60.32236,22.067661
pop,18.434507,-50.158375
pop,-98.86977,-77.81951
pop,-85.35181,76.43358
pop,82.96719,76.45486
pop,-55.878418,98.35139
pop,33.58105,18.46048
pop,-59.237537,-105.85742
pop,-88.87487,9.472317
pop,-22.018045,-125.16263
pop,17.584421,106.43057
pop,34.976738,-37.32542
pop,-124.943016,-1.9019958
pop,-71.138214,-36.415646
pop,-98.41252,31.207026
pop,-29.135695,-120.91067
pop,-102.06969,24.91377
pop,-96.90253,-24.730295
pop,-21.358282,95.93479
pop,-85.70109,-0.05406465
pop,17.84461,99.46631
pop,-62.122395,-81.11322
pop,-77.21308,-75.2835
pop,-114.57905,41.355965
pop,-1.5201584,-80.85027
pop,-61.17617,-68.61642
pop,-0.57249826,-29.098581
pop,-19.980833,127.68246
pop,-36.163494,124.25668
pop,-52.927776,35.25659
pop,-18.18375,-32.55275
pop,-34.236008,-48.1464
pop,-125.685814,-15.651103
pop,-51.8891,32.257034
pop,1.1844355,-13.281179
pop,-65.64811,-52.707542
pop,-61.827267,-73.586266
pop,-35.83663,-77.48902
pop,-98.87583,-31.646141
pop,-41.455517,32.168915
pop,-17.984558,33.427498
pop,0.30590528,117.545975
pop,-49.014038,15.484152
pop,-78.46009,5.869447
pop,-85.86791,27.705898
pop,-57.236217,-20.664192
pop,-11.46592,-59.98752
pop,-58.07829,52.59808
pop,7.0118318,81.50493
pop,-76.40562,-71.77282
pop,-29.221613,-34.015102
pop,-58.148174,53.1402
pop,-119.488525,-2.0958776
pop,-19.684324,127.43115
pop,30.184381,-106.59395
pop,-44.149033,-84.56556
pop,-34.378906,-51.57199
pop,-98.37498,-44.30866
pop,-60.961926,-32.266296
pop,-72.143456,-33.653572
pop,-17.445902,124.170105
pop,-72.487366,80.554016
pop,2.37911,-1.601141
pop,-39.99018,-31.54612
pop,-11.526708,-113.64069
pop,-83.46324,-44.138996
pop,-15.946358,86.35084
pop,7.402638,58.096386
pop,-54.146706,-50.473083
pop,-72.17029,-2.5430129
pop,-46.55874,61.812912
pop,-15.047567,52.978943
pop,-48.342243,-26.961596
pop,20.23404,69.221794
pop,-71.42829,-0.2509609
pop,-61.059654,-28.43604
pop,-54.632042,-54.648212
pop,-52.051712,32.34579
pop,-35.421844,124.75505
pop,-56.49397,93.544495
pop,-78.42159,-90.77476
pop,-50.070694,-30.306557
pop,-81.506775,48.653343
pop,64.97477,-32.824406
pop,-78.74319,8.339348
pop,-93.29464,-53.331352
pop,-5.863973,108.36927
pop,-75.94038,-47.10981
pop,-42.36557,-10.0292635
pop,-80.99219,40.297672
pop,-71.99998,77.217354
pop,-22.277876,-46.758667
pop,-42.40137,93.997795
pop,-60.19381,-86.13323
pop,-73.307816,87.3243
pop,-95.03249,-8.595154
pop,-19.980833,127.68246
pop,7.498241,-57.504173
pop,-6.426268,-5.5278826
pop,-56.523155,103.48356
pop,-0.57249826,-29.098581
pop,5.3794804,106.34854
pop,-80.75762,44.502937
pop,-84.57065,31.866537
pop,-98.94922,-32.11914
pop,-49.182655,12.534704
pop,-75.68353,-98.02568
pop,-81.033905,-46.396217
pop,-74.27721,-10.568518
pop,-24.876316,-75.57898
pop,-73.21902,95.827255
pop,-85.66948,-37.370483
pop,-46.13245,55.981434
pop,-55.923347,99.54645
pop,1.4110653,29.6573
pop,-69.23352,47.463615
pop,19.919031,-17.873129
pop,-1.936689,-52.71344
pop,-78.80401,8.739587
pop,-63.34616,107.12439
pop,30.56666,-99.34596
pop,-84.34015,-7.4195895
pop,17.952335,-52.563698
pop,-27.852755,21.535297
pop,-99.1177,-32.194283
pop,-13.829169,-87.35758
pop,-115.77919,-46.422325
pop,-78.52037,-87.29611
pop,-21.774334,74.59873
pop,-50.92083,27.999512
pop,-87.31725,81.7904
pop,34.56848,51.127464
pop,-25.628033,45.327526
pop,6.937425,81.655235
pop,-2.5166745,-44.406353
pop,-66.80382,33.974056
pop,-22.1429,-54.064274
pop,-41.882046,-6.067849
pop,-12.270358,43.91518
pop,11.909833,-1.6626129
pop,-58.85624,64.44112
pop,-58.128857,53.054066
pop,-127.901405,-10.003664
pop,-30.05634,88.787315
pop,-37.614784,50.115513
pop,2.154572,34.52169
pop,-26.65959,-63.03556
pop,-53.7219,-58.544086
pop,-36.044437,-76.29524
pop,-114.07739,16.608679
pop,-51.574768,-4.116884
pop,-71.40241,18.103628
pop,79.47714,47.231953
pop,-51.542725,-46.62646
pop,-18.184248,-32.552643
pop,-84.34986,-7.074911
pop,-56.295906,-94.54226
pop,-41.11308,-68.07884
pop,-81.21905,-20.364185
pop,-12.139532,24.070246
pop,11.763055,3.5455306
pop,-133.80446,10.870756
pop,-24.86836,-73.74859
pop,-77.37829,-76.10022
pop,-0.7450912,22.376087
pop,19.495453,68.22456
pop,-3.5814464,-40.93801
pop,-13.822025,-87.31424
pop,-24.123407,-8.494668
pop,-60.251114,21.657274
pop,-33.93474,-14.188486
pop,-61.057457,0.05008713
